app,prompt,contributor,techstack
"Todo List","Create a responsive todo app with HTML5, CSS3 and vanilla JavaScript.\nRequirements:\n1) Clean UI with CSS Grid/Flexbox\n2) Add/edit/delete/complete tasks\n3) Categories and priority levels\n4) Due dates with date-picker\n5) Local storage for persistence\n6) Search and filter tasks\n7) Drag and drop reordering\n8) Responsive design with media queries\n9) Dark/light theme toggle\n10) Basic animations",@f,"HTML,CSS,JavaScript"
"Weather Dashboard","Build a modern weather dashboard using HTML5, CSS3, JavaScript and the OpenWeatherMap API.\nInclude:\n1) Current weather with icons\n2) 5-day forecast\n3) Hourly breakdown\n4) Search by city/coordinates\n5) Geolocation support\n6) Temperature unit toggle\n7) Weather alerts\n8) Wind/humidity/pressure stats\n9) Sunrise/sunset times\n10) Responsive grid layout with CSS Grid",@f,"HTML,CSS,JavaScript,API"
"Scientific Calculator","Create a scientific calculator with HTML5, CSS3 and JavaScript.\nFeatures:\n1) Basic arithmetic\n2) Scientific functions (sin,cos,log etc)\n3) Memory operations\n4) History log\n5) Keyboard support\n6) Error handling\n7) Responsive design\n8) Theme switcher\n9) Sound feedback\n10) Copy results",@f,"HTML,CSS,JavaScript" 
"Markdown Notes","Build a markdown notes app with HTML5, CSS3 and JavaScript.\nInclude:\n1) Rich text editor\n2) Live markdown preview\n3) Categories/tags\n4) Search notes\n5) Local storage sync\n6) Export to PDF/MD\n7) Dark mode\n8) Responsive layout\n9) Keyboard shortcuts\n10) Auto-save",@f,"HTML,CSS,JavaScript"
"Pomodoro Timer","Create a pomodoro timer app using HTML5, CSS3 and JavaScript.\nFeatures:\n1) Work/break timers\n2) Custom intervals\n3) Progress circle\n4) Sound notifications\n5) Task tracking\n6) Statistics dashboard\n7) Local storage\n8) PWA support\n9) Keyboard shortcuts\n10) Multiple themes",@f,"HTML,CSS,JavaScript"
"Interactive Quiz","Develop an interactive quiz app with HTML5, CSS3 and JavaScript.\nInclude:\n1) Multiple choice questions\n2) Timer per question\n3) Score tracking\n4) Progress bar\n5) Review answers\n6) Leaderboard\n7) Different categories\n8) Difficulty levels\n9) Results summary\n10) Share results",@f,"HTML,CSS,JavaScript"
"Advanced Color Picker Tool","Build an advanced color tool with HTML5, CSS3 and JavaScript.\nFeatures:\n1) Color picker\n2) RGB/HSL/HEX conversion\n3) Color palettes\n4) Save favorites\n5) Color harmony\n6) Gradient generator\n7) Contrast checker\n8) Copy values\n9) Color naming\n10) Export options",@f,"HTML,CSS,JavaScript"
"Secure Password Generator Tool","Create a secure password generator using HTML5, CSS3 and JavaScript.\nInclude:\n1) Custom length\n2) Character types\n3) Password strength meter\n4) Copy button\n5) Save passwords\n6) Generate multiple\n7) Password history\n8) Entropy calculator\n9) Memorable options\n10) Export list",@f,"HTML,CSS,JavaScript"
"Health Metrics Calculator","Build a health metrics calculator with HTML5, CSS3 and JavaScript.\nFeatures:\n1) BMI calculator\n2) Body fat %\n3) Ideal weight\n4) Calorie needs\n5) Health tips\n6) Metric/Imperial\n7) Results history\n8) Progress charts\n9) Print report\n10) Save profile",@f,"HTML,CSS,JavaScript"
"Currency Exchange Calculator","Develop a currency converter using HTML5, CSS3, JavaScript and Exchange Rate API.\nInclude:\n1) Live rates\n2) Multiple currencies\n3) Conversion history\n4) Favorite pairs\n5) Charts/graphs\n6) Offline support\n7) Calculator\n8) Rate alerts\n9) Compare rates\n10) Print/export",@f,"HTML,CSS,JavaScript,API"
